post_id,source,target,tipo_interacao,data
385890,309181,385890,repost,20240316
127643,4531,127643,repost,20231020
400498,1000967,400498,repost,20240227
297210,140836,297210,repost,20230817
33822,166358,33822,repost,20230808
243808,5675,243808,repost,20240206
906947,58181,906947,repost,20240209
423213,204980,423213,repost,20240212
511394,99517,511394,repost,20240208
556695,89517,556695,repost,20231102
1773085,179413,1773085,repost,20230731
306809,275838,306809,repost,20230919
28849,702,28849,repost,20230801
106257,3878,106257,repost,20240128
312820,68377,312820,repost,20231112
158620,75260,158620,repost,20231120
37750,168,37750,repost,20240216
65613,34195,65613,repost,20240208
1370748,371434,1370748,repost,20230918
1973770,144175,1973770,repost,20240220
714779,42667,714779,repost,20240312
531160,48589,531160,repost,20231208
806934,74277,806934,repost,20230729
264378,2244,264378,repost,20240105
286219,37472,286219,repost,20231004
288009,171342,288009,repost,20240117
1729427,438378,1729427,repost,20231027
345515,135,345515,repost,20240228
543444,38109,543444,repost,20231118
713729,32908,713729,repost,20240126
218349,46839,218349,repost,20230508
524715,99549,524715,repost,20231119
1136492,42478,1136492,repost,20231009
142289,977800,142289,repost,20231011
1870090,2843599,1870090,repost,20231102
20188,8859,20188,repost,20231109
39810,56144,39810,repost,20231017
1185924,678311,1185924,repost,20240208
432196,177367,432196,repost,20230717
382456,7345,382456,repost,20240217
1954059,188774,1954059,repost,20240211
206403,50,206403,repost,20231029
33971,12375,33971,repost,20230712
1353968,2270,1353968,repost,20231118
1867595,101252,1867595,repost,20231014
551531,142851,551531,repost,20240215
360987,130,360987,repost,20240111
88063,82959,88063,repost,20240116
974829,45846,974829,repost,20231005
14901,511394,14901,repost,20240225
64830,789015,64830,repost,20230905
372676,252337,372676,repost,20240212
47701,78072,47701,repost,20230918
1081876,7981,1081876,repost,20240209
683,37782,683,repost,20231022
135,34218,135,repost,20240130
1519848,1197,1519848,repost,20240124
416299,6009,416299,repost,20231019
34184,10570,34184,repost,20230429
1542970,525714,1542970,repost,20240315
1186201,451441,1186201,repost,20231106
213845,122409,213845,repost,20240214
133813,26376,133813,repost,20240117
32829,36113,32829,repost,20230511
673533,33607,673533,repost,20240213
30486,22489,30486,repost,20231125
2174744,16318,2174744,repost,20240125
157786,8666,157786,repost,20231128
235724,19898,235724,repost,20231029
1005028,122954,1005028,repost,20240226
4255,68384,4255,repost,20231117
1583055,185608,1583055,repost,20240316
241231,37154,241231,repost,20230802
291201,25261,291201,repost,20231216
749459,1949,749459,repost,20231204
1027475,135921,1027475,repost,20231215
231920,12531,231920,repost,20230904
793721,229683,793721,repost,20231003
1186328,237296,1186328,repost,20231221
50466,486224,50466,repost,20230829
2653277,19886,2653277,repost,20231024
49163,428,49163,repost,20231007
382166,168333,382166,repost,20231023
358458,367389,358458,repost,20231217
95067,7336,95067,repost,20230729
575733,399932,575733,repost,20230830
283295,27073,283295,repost,20231130
77226,21614,77226,repost,20230718
173564,3788,173564,repost,20231118
273208,192196,273208,repost,20231018
690877,261480,690877,repost,20240314
31137,37498,31137,repost,20230823
549111,943,549111,repost,20240126
629431,350385,629431,repost,20240317
302871,75351,302871,repost,20231029
1282145,129665,1282145,repost,20231120
200787,64830,200787,repost,20231220
1464446,36658,1464446,repost,20240129
26563,130847,26563,repost,20240221
154581,411014,154581,repost,20231013
322888,120283,322888,repost,20240316
22202,148422,22202,repost,20231122
140671,703720,140671,repost,20240207
249664,66172,249664,repost,20231208
130340,3842,130340,repost,20240311
855784,413109,855784,repost,20231229
125657,125675,125657,repost,20231209
160906,61106,160906,repost,20231020
33064,448,33064,repost,20230705
790670,790651,790670,repost,20231006
819231,39533,819231,repost,20240120
131087,330553,131087,repost,20240103
64852,34346,64852,repost,20240307
818786,106308,818786,repost,20240318
152688,1520,152688,repost,20231022
714785,6570,714785,repost,20231231
530533,788478,530533,repost,20231001
14408,377058,14408,repost,20240204
726633,132,726633,repost,20240303
898717,12342,898717,repost,20240214
1028428,1853115,1028428,repost,20230531
25098,49303,25098,repost,20231116
335979,45,335979,repost,20240130
125157,125166,125157,repost,20240125
439965,49277,439965,repost,20230510
241767,24623,241767,repost,20231011
702769,33607,702769,repost,20240115
190813,58146,190813,repost,20240315
568928,292666,568928,repost,20230428
32129,21080,32129,repost,20230702
668113,273169,668113,repost,20231012
316222,206448,316222,repost,20230628
1387330,12376,1387330,repost,20231209
238391,230210,238391,repost,20231001
457452,287274,457452,repost,20231220
